id,target
0,0
2,1
3,1
9,0
11,0
12,0
21,0
22,0
27,1
29,0
30,1
35,0
42,1
43,0
45,0
46,1
47,0
51,0
58,0
60,0
69,0
70,0
72,1
75,0
84,0
87,1
88,0
90,0
94,0
99,0
101,1
103,0
106,1
108,0
111,0
115,0
116,1
122,0
123,0
124,1
125,0
127,0
140,1
142,0
147,1
148,0
150,0
152,0
154,0
155,0
166,0
167,0
169,0
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,0
206,0
207,1
214,1
217,0
223,1
224,0
227,1
228,1
230,1
233,1
234,1
236,1
239,1
250,0
255,1
257,0
259,1
275,0
278,1
282,0
284,1
286,0
288,0
292,0
295,0
300,0
304,1
305,1
306,0
308,0
311,1
317,0
319,0
323,0
324,0
325,1
326,1
333,0
339,0
342,0
343,0
350,0
351,1
357,1
359,1
362,0
366,1
367,1
369,1
373,0
374,0
376,0
377,1
378,1
379,0
382,1
385,1
387,0
388,1
391,1
392,1
395,1
399,1
400,0
403,0
405,1
408,1
411,1
414,0
416,0
417,0
422,1
425,1
428,0
430,1
431,0
433,0
434,0
439,1
441,0
449,1
458,1
460,1
464,1
473,1
488,0
491,1
494,1
497,1
500,1
505,1
507,0
508,0
510,0
511,0
515,0
525,0
529,1
532,1
534,1
537,0
539,1
541,1
545,0
547,0
548,0
549,0
553,1
554,1
555,0
557,0
562,0
566,0
572,0
573,0
582,0
586,0
587,0
590,0
591,0
593,0
595,0
596,0
597,0
601,0
602,0
605,0
610,0
616,0
618,0
620,0
626,0
627,0
629,1
632,0
634,1
639,0
645,0
647,0
648,0
650,0
663,0
666,0
668,0
670,0
673,1
676,1
678,1
692,0
693,0
694,0
695,0
696,0
698,0
701,0
703,0
707,0
708,0
711,0
715,0
718,0
722,0
723,0
733,0
741,1
742,0
743,1
747,0
749,1
750,0
756,1
757,0
760,0
764,0
765,0
766,0
768,0
769,0
771,0
772,0
776,0
778,0
780,0
785,0
789,0
792,0
793,0
811,1
813,0
816,1
821,0
824,1
825,0
827,0
830,1
831,1
839,1
844,0
847,1
850,1
854,1
855,0
858,0
861,1
862,1
865,0
869,0
879,1
880,0
887,1
889,0
897,0
900,1
901,1
904,1
908,1
909,1
910,0
913,1
914,0
917,1
918,0
920,0
922,1
924,1
925,1
927,1
933,0
937,1
943,0
949,0
950,0
954,0
966,0
967,1
969,1
970,0
973,0
975,0
980,0
988,1
989,0
995,1
1000,0
1003,1
1007,1
1011,1
1012,1
1013,0
1014,0
1016,0
1019,0
1025,1
1027,1
1028,0
1030,1
1033,1
1034,0
1039,1
1046,1
1047,1
1053,0
1055,0
1056,0
1059,0
1060,0
1063,0
1064,0
1068,0
1076,0
1086,1
1087,1
1089,0
1092,0
1095,1
1096,0
1097,1
1100,1
1101,0
1107,1
1108,0
1111,0
1115,1
1116,0
1121,0
1125,0
1127,1
1131,0
1133,1
1135,0
1137,0
1140,0
1144,0
1147,0
1148,1
1150,1
1158,0
1159,0
1161,1
1163,0
1165,0
1169,0
1171,0
1172,0
1176,0
1180,0
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,0
1200,1
1205,1
1210,0
1216,1
1220,0
1231,0
1233,0
1246,0
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,1
1268,0
1274,0
1281,0
1285,0
1286,0
1291,0
1292,0
1295,0
1299,0
1306,1
1310,0
1311,0
1313,0
1314,0
1322,0
1323,1
1325,0
1329,1
1330,0
1333,1
1336,0
1339,0
1342,0
1344,1
1355,0
1357,1
1358,1
1359,0
1364,0
1366,1
1367,0
1370,0
1373,0
1377,0
1386,0
1387,0
1392,0
1397,0
1398,0
1400,0
1403,0
1404,0
1410,0
1413,0
1416,0
1417,0
1423,0
1424,0
1426,0
1427,0
1428,0
1430,0
1434,0
1435,0
1437,1
1438,0
1442,1
1446,0
1451,0
1457,1
1461,0
1462,0
1465,1
1468,0
1469,0
1471,0
1476,0
1478,1
1481,0
1489,0
1490,0
1492,0
1496,0
1512,0
1516,0
1517,0
1528,0
1529,1
1536,1
1539,0
1541,1
1542,0
1548,0
1550,0
1551,1
1552,1
1557,0
1563,0
1564,0
1565,1
1566,0
1571,0
1578,1
1581,0
1583,1
1584,0
1586,0
1589,0
1592,0
